1;Kingdomino | Empik Galeria Baltycka;turniej;Weź udział w turnieju eliminacyjnym do Mistrzostw Polski Kingdomino i wygraj fantastyczne nagrody;Kingdomino ;0;2019-09-07;11:00:00 AM;;Galeria Bałtycka;al. Grunwaldzka 141;Gdańsk
2;Planszogranie z Treflersami;brak danych;;brak danych;0;2019-09-07;05:00:00 PM;07:00:00 PM;Sopoteka;Tadeusza Kościuszki 14;Sopot
3;PLANSZOGRANIE w ECS;brak danych;W każdy pierwszy czwartek miesiąca w ogrodzie zimowym ECS stają stanowiska do gry w planszówki – dla dużych, małych, średnich, rodzin i grup przyjaciół. Dołączcie do nas!;brak danych;0;2019-10-03;03:00:00 PM;06:00:00 PM;Europejskie Centrum Solidarności;pl. Solidarności 1;Gdańsk
4;PLANSZOGRANIE w ECS;brak danych;W każdy pierwszy czwartek miesiąca w ogrodzie zimowym ECS stają stanowiska do gry w planszówki – dla dużych, małych, średnich, rodzin i grup przyjaciół. Dołączcie do nas!;brak danych;0;2019-11-07;03:00:00 PM;06:00:00 PM;Europejskie Centrum Solidarności;pl. Solidarności 1;Gdańsk
5;PLANSZOGRANIE w ECS;brak danych;W każdy pierwszy czwartek miesiąca w ogrodzie zimowym ECS stają stanowiska do gry w planszówki – dla dużych, małych, średnich, rodzin i grup przyjaciół. Dołączcie do nas!;brak danych;0;2019-12-05;03:00:00 PM;06:00:00 PM;Europejskie Centrum Solidarności;pl. Solidarności 1;Gdańsk
6;Targi Gra i Zabawa / Festiwal GRAMY;festiwal;GRAMY to cykliczny (organizowany co pół roku) festiwal gier planszowych. W czasie dwóch dni można przyjść i grać, grać, grać. Udostępniamy ponad 500 różnych gier, od prostych gier imprezowych po zaawansowane strategie. Na miejscu nasza obsługa będzie pokazuje oraz tłumaczy zasady gier planszowych a także pomaga w wyborze gry dla siebie.;brak danych;0;2019-11-23;null;null;AmberExpo;ul. Żaglowa 11;Gdańsk
7;Targi Gra i Zabawa / Festiwal GRAMY;festiwal;GRAMY to cykliczny (organizowany co pół roku) festiwal gier planszowych. W czasie dwóch dni można przyjść i grać, grać, grać. Udostępniamy ponad 500 różnych gier, od prostych gier imprezowych po zaawansowane strategie. Na miejscu nasza obsługa będzie pokazuje oraz tłumaczy zasady gier planszowych a także pomaga w wyborze gry dla siebie.;brak danych;0;2019-11-24;null;null;AmberExpo;ul. Żaglowa 11;Gdańsk
8;Graj z Rebelem – Parkowisko;brak danych;GRAJ Z REBELEM to Twój przewodnik po najciekawszych imprezach z planszówkami w Polsce. Śledź trasę naszego Games Trucka, odwiedzaj miejsca,w których jesteśmy. GRAJ Z NAMI!;brak danych;0;2019-09-08;11:00:00 AM;06:00:00 PM;Park Brzeźnieński;;Gdańsk
9;3city Heresy 2019;turniej;Stowarzyszenie Miłośników Gier Strategicznych "Trójmiasto" wraz ze Stacją Kultura Rumia mają przyjemność zaprosić na turniej klasy MASTER pt. 3CITY HERESY 2019!; Wh40k;0;2019-09-07;08:30:00 AM;07:15:00 PM;Stacja Kultura;Starowiejska 2;Rumia
10;3city Heresy 2020;turniej;Stowarzyszenie Miłośników Gier Strategicznych "Trójmiasto" wraz ze Stacją Kultura Rumia mają przyjemność zaprosić na turniej klasy MASTER pt. 3CITY HERESY 2019!; Wh40k;0;2019-09-08;09:00:00 AM;03:15:00 PM;Stacja Kultura;Starowiejska 3;Rumia
11;Wrześniowa zGrana Reda;brak danych;GRANA REDA TO: > ponad 150 gier na każdym spotkaniu, > co miesiąc nowe tytuły w kolekcji, > turnieje lokalne, a także eliminacje do mistrzostw Polski, > miła, rodzinna atmosfera, > wygodne krzesła, duże stoły i przestronna sala, > możliwość kupna kawy, napojów i przekąsek na miejscu, > bezpłatny parking pod Fabryką Kultury.;brak danych;0;2019-09-28;03:00:00 PM;09:00:00 PM;Fabryka Kultury w Redzie;Łąkowa 59 A;Reda
12;zGrana Reda + turniej we Wsiąść do Pociągu: Polska;turniej;Wrześniowa zGrana Reda będzie miejscem pojedynków w jedną z najpopularniejszych gier planszowych w kraju - Wsiąść do Pociągu! Ale to nie byle jaki turniej, ponieważ rozgrywany będzie na wyjątkowej mapie Polski! Do wygrania nagrody ufundowane przez REBEL.pl ;Wsiąść do Pociągu: Polska;0;2019-09-28;03:00:00 PM;09:00:00 PM;Fabryka Kultury w Redzie;Łąkowa 59 A;Reda
13;Planszówkarium;brak danych;Przyjdźcie i zagrajcie sami lub z nami. Mamy ponad 200 tytułów w naszej bilbliotece. Doradzimy i nauczymy zasad. Rodzice z dziećmi mile widziani. Wstęp wolny. ;brak danych;0;2019-12-14;12:00:00 PM;04:00:00 PM;GKF - Gdański Klub Fantastyki;Opolska 2;Gdańsk
14;Planszówkarium;brak danych;Przyjdźcie i zagrajcie sami lub z nami. Mamy ponad 200 tytułów w naszej bilbliotece. Doradzimy i nauczymy zasad. Rodzice z dziećmi mile widziani. Wstęp wolny. ;brak danych;0;2019-09-15;12:00:00 PM;08:00:00 PM;GKF - Gdański Klub Fantastyki;Opolska 2;Gdańsk
15;Planszówkarium;brak danych;Przyjdźcie i zagrajcie sami lub z nami. Mamy ponad 200 tytułów w naszej bilbliotece. Doradzimy i nauczymy zasad. Rodzice z dziećmi mile widziani. Wstęp wolny. ;brak danych;0;2019-10-20;12:00:00 PM;06:00:00 PM;GKF - Gdański Klub Fantastyki;Opolska 2;Gdańsk
